#Experiment,Perturbations,PerturbationLevels,Treatment,DeletedGenes,OverexpressedGenes,Time,Repeat
1,NA,NA,NA,NA,NA,NA,1
1,NA,NA,NA,NA,NA,NA,2
2,NA,NA,NA,NA,NA,NA,1
3,NA,NA,NA,NA,NA,NA,1
3,NA,NA,NA,NA,NA,NA,2
4,NA,NA,NA,NA,NA,NA,1
4,NA,NA,NA,NA,NA,NA,2
5,NA,NA,NA,NA,NA,NA,1
5,NA,NA,NA,NA,NA,NA,2
5,NA,NA,NA,NA,NA,NA,3
6,NA,NA,NA,NA,NA,NA,1
6,NA,NA,NA,NA,NA,NA,2
6,NA,NA,NA,NA,NA,NA,3
7,NA,NA,NA,NA,NA,NA,1
7,NA,NA,NA,NA,NA,NA,2
7,NA,NA,NA,NA,NA,NA,3
8,NA,NA,NA,NA,NA,NA,1
8,NA,NA,NA,NA,NA,NA,2
9,NA,NA,NA,NA,NA,NA,1
9,NA,NA,NA,NA,NA,NA,2
10,NA,NA,NA,NA,NA,NA,1
11,NA,NA,NA,NA,NA,NA,1
11,NA,NA,NA,NA,NA,NA,2
12,NA,NA,NA,NA,NA,NA,1
13,NA,NA,NA,NA,NA,NA,1
13,NA,NA,NA,NA,NA,NA,2
14,NA,NA,NA,NA,NA,NA,1
14,NA,NA,NA,NA,NA,NA,2
15,NA,NA,NA,NA,NA,NA,1
15,NA,NA,NA,NA,NA,NA,2
16,NA,NA,NA,NA,NA,NA,1
16,NA,NA,NA,NA,NA,NA,2
16,NA,NA,NA,NA,NA,NA,3
17,NA,NA,NA,NA,NA,NA,1
17,NA,NA,NA,NA,NA,NA,2
18,NA,NA,NA,NA,NA,NA,1
19,NA,NA,NA,NA,NA,NA,1
20,NA,NA,NA,NA,NA,NA,1
20,NA,NA,NA,NA,NA,NA,2
21,NA,NA,NA,NA,NA,NA,1
21,NA,NA,NA,NA,NA,NA,2
22,NA,NA,NA,NA,NA,NA,1
22,NA,NA,NA,NA,NA,NA,2
22,NA,NA,NA,NA,NA,NA,3
23,NA,NA,NA,NA,NA,NA,1
23,NA,NA,NA,NA,NA,NA,2
24,NA,NA,NA,NA,NA,0,1
24,NA,NA,NA,NA,NA,400,1
25,NA,NA,NA,NA,NA,80,1
25,NA,NA,NA,NA,NA,140,1
25,NA,NA,NA,NA,NA,300,1
25,NA,NA,NA,NA,NA,480,1
26,NA,NA,NA,NA,NA,0,1
26,NA,NA,NA,NA,NA,400,1
27,NA,NA,NA,NA,NA,75,1
27,NA,NA,NA,NA,NA,75,2
27,NA,NA,NA,NA,NA,90,1
27,NA,NA,NA,NA,NA,90,2
27,NA,NA,NA,NA,NA,112,1
27,NA,NA,NA,NA,NA,112,2
27,NA,NA,NA,NA,NA,185,1
27,NA,NA,NA,NA,NA,185,2
27,NA,NA,NA,NA,NA,202,1
27,NA,NA,NA,NA,NA,202,2
28,NA,NA,NA,NA,NA,80,1
28,NA,NA,NA,NA,NA,140,1
28,NA,NA,NA,NA,NA,300,1
28,NA,NA,NA,NA,NA,480,1
29,NA,NA,NA,NA,NA,50,1
29,NA,NA,NA,NA,NA,50,2
29,NA,NA,NA,NA,NA,100,1
29,NA,NA,NA,NA,NA,100,2
29,NA,NA,NA,NA,NA,160,1
29,NA,NA,NA,NA,NA,160,2
29,NA,NA,NA,NA,NA,240,1
29,NA,NA,NA,NA,NA,240,2
29,NA,NA,NA,NA,NA,360,1
29,NA,NA,NA,NA,NA,360,2
29,NA,NA,NA,NA,NA,520,1
29,NA,NA,NA,NA,NA,520,2
30,NA,NA,NA,NA,NA,0,1
30,NA,NA,NA,NA,NA,400,1
31,NA,NA,NA,NA,NA,NA,1
31,P1,1,NA,NA,NA,NA,1
32,P2,NA,NA,NA,NA,NA,1
32,P2,NA,NA,NA,NA,NA,2
32,P2,NA,NA,NA,NA,NA,3
32,P2,NA,NA,NA,NA,NA,4
32,P2,NA,NA,NA,NA,NA,5
32,NA,NA,NA,NA,NA,NA,1
32,NA,NA,NA,NA,NA,NA,2
32,NA,NA,NA,NA,NA,NA,3
32,NA,NA,NA,NA,NA,NA,4
32,NA,NA,NA,NA,NA,NA,5
32,P3,NA,NA,NA,NA,NA,1
32,P3,NA,NA,NA,NA,NA,2
32,P3,NA,NA,NA,NA,NA,3
32,P3,NA,NA,NA,NA,NA,4
32,P3,NA,NA,NA,NA,NA,5
33,NA,NA,NA,NA,NA,NA,1
33,P1,1,NA,NA,NA,NA,1
34,NA,NA,NA,NA,NA,NA,1
34,P4,NA,NA,NA,NA,NA,1
35,NA,NA,NA,NA,NA,NA,1
35,NA,NA,NA,NA,NA,NA,2
35,NA,NA,NA,NA,NA,NA,3
35,P5,NA,NA,NA,NA,NA,1
35,P5,NA,NA,NA,NA,NA,2
35,P5,NA,NA,NA,NA,NA,3
36,NA,NA,NA,NA,NA,NA,1
36,NA,NA,NA,NA,NA,NA,2
36,P6,NA,NA,NA,NA,NA,1
36,P6,NA,NA,NA,NA,NA,2
37,P2,NA,NA,NA,NA,NA,1
37,P2,NA,NA,NA,NA,NA,2
38,NA,NA,NA,NA,NA,NA,1
38,P1,1,NA,NA,NA,NA,1
39,NA,NA,NA,NA,NA,NA,1
39,P4,NA,NA,NA,NA,NA,1
40,NA,NA,NA,NA,NA,NA,1
40,P1,1,NA,NA,NA,NA,1
41,P2,NA,NA,NA,NA,NA,1
41,P2,NA,NA,NA,NA,NA,2
41,P2,NA,NA,NA,NA,NA,3
41,P2,NA,NA,NA,NA,NA,4
41,P2,NA,NA,NA,NA,NA,5
41,NA,NA,NA,NA,NA,NA,1
41,NA,NA,NA,NA,NA,NA,2
41,NA,NA,NA,NA,NA,NA,3
41,NA,NA,NA,NA,NA,NA,4
41,NA,NA,NA,NA,NA,NA,5
41,P3,NA,NA,NA,NA,NA,1
41,P3,NA,NA,NA,NA,NA,2
41,P3,NA,NA,NA,NA,NA,3
41,P3,NA,NA,NA,NA,NA,4
41,P3,NA,NA,NA,NA,NA,5
42,P7,0.8,NA,NA,NA,NA,1
42,P7,0.8,NA,NA,NA,NA,2
43,NA,NA,NA,NA,NA,150,1
43,NA,NA,NA,NA,NA,180,1
43,NA,NA,NA,NA,NA,210,1
43,NA,NA,NA,NA,NA,240,1
43,NA,NA,NA,NA,NA,270,1
43,NA,NA,NA,NA,NA,300,1
43,NA,NA,NA,NA,NA,330,1
43,NA,NA,NA,NA,NA,360,1
43,NA,NA,NA,NA,NA,480,1
43,P8,NA,NA,NA,NA,150,1
43,P8,NA,NA,NA,NA,180,1
43,P8,NA,NA,NA,NA,210,1
43,P8,NA,NA,NA,NA,240,1
43,P8,NA,NA,NA,NA,270,1
43,P8,NA,NA,NA,NA,300,1
43,P8,NA,NA,NA,NA,330,1
43,P8,NA,NA,NA,NA,360,1
43,P8,NA,NA,NA,NA,480,1
44,NA,NA,NA,NA,NA,0,1
44,NA,NA,NA,NA,NA,60,1
44,NA,NA,NA,NA,NA,120,1
44,NA,NA,NA,NA,NA,180,1
44,NA,NA,NA,NA,NA,240,1
44,P9,1,NA,NA,NA,60,1
44,P9,1,NA,NA,NA,120,1
44,P9,1,NA,NA,NA,180,1
44,P9,1,NA,NA,NA,240,1
44,P10,NA,NA,NA,NA,60,1
44,P10,NA,NA,NA,NA,120,1
44,P10,NA,NA,NA,NA,180,1
44,P10,NA,NA,NA,NA,240,1
45,P11,NA,NA,NA,NA,0,1
45,P11,NA,NA,NA,NA,60,1
45,P11,NA,NA,NA,NA,120,1
45,P11,NA,NA,NA,NA,240,1
46,NA,NA,NA,NA,NA,96,1
46,NA,NA,NA,NA,NA,96,2
46,NA,NA,NA,NA,NA,96,3
46,NA,NA,NA,NA,NA,240,1
46,NA,NA,NA,NA,NA,240,2
46,NA,NA,NA,NA,NA,240,3
46,P12,0.1,NA,NA,NA,0,1
46,P12,0.1,NA,NA,NA,0,2
46,P12,0.1,NA,NA,NA,0,3
46,P12,0.1,NA,NA,NA,48,1
46,P12,0.1,NA,NA,NA,48,2
46,P12,0.1,NA,NA,NA,48,3
46,P12,0.1,NA,NA,NA,96,1
46,P12,0.1,NA,NA,NA,96,2
46,P12,0.1,NA,NA,NA,96,3
