#ID,Name
G1,tyrR
G2,glpR
G3,tdcA
G4,allS
G5,mtlR
G6,treR
G7,adiY
G8,cysB
G9,decoy15
G10,hcaR
G11,modE
G12,oxyR
G13,glnG
G14,nemR
G15,bglJ
G16,rcsA
G17,lysR
G18,yoeB
G19,glcC
G20,cspA
G21,mntR
G22,glrR
G23,cbl
G24,ada
G25,putA
G26,agaR
G27,rhaR
G28,sdiA
G29,decoy10
G30,dicA
G31,ydeO
G32,caiF
G33,envR
G34,slyA
G35,nac
G36,gatR_1
G37,rob
G38,baeR
G39,dgsA
G40,decoy13
G41,deoR
G42,rtcR
G43,fruR
G44,phoB
G45,mhpR
G46,decoy8
G47,decoy17
G48,lexA
G49,hupB
G50,torR
G51,gntR
G52,soxS
G53,xapR
G54,kdgR
G55,stpA
G56,decoy16
G57,rhaS
G58,malT
G59,nrdR
G60,decoy6
G61,decoy5
G62,prpR
G63,gutM
G64,csiR
G65,rcnR
G66,appY
G67,decoy1
G68,metR
G69,pspF
G70,lrhA
G71,trpR
G72,yeiL
G73,fucR
G74,soxR
G75,fadR
G76,exuR
G77,qseB
G78,fur
G79,hipA
G80,chbR
G81,creB
G82,gcvA
G83,metJ
G84,fnr
G85,hipB
G86,uidR
G87,envY
G88,nagC
G89,decoy11
G90,asnC
G91,yiaJ
G92,purR
G93,murR
G94,pepA
G95,argR
G96,galR
G97,araC
G98,cusR
G99,gadW
G100,phoP
G101,fhlA
G102,mqsA
G103,iclR
G104,yefM
G105,uhpA
G106,lldR
G107,mngR
G108,dsdC
G109,csgD
G110,nsrR
G111,cueR
G112,cynR
G113,melR
G114,decoy12
G115,flhC
G116,rstA
G117,rbsR
G118,gatR_2
G119,flhD
G120,crp
G121,arcA
G122,ompR
G123,nanR
G124,decoy3
G125,ilvY
G126,gadE
G127,rpiR
G128,evgA
G129,gadX
G130,alpA
G131,betI
G132,ascG
G133,rutR
G134,leuO
G135,galS
G136,hns
G137,cytR
G138,paaX
G139,nikR
G140,ulaR
G141,ihfA
G142,idnR
G143,sgrR
G144,iscR
G145,relB
G146,lacI
G147,alaS
G148,decoy4
G149,nadR
G150,dcuR
G151,kdpE
G152,xylR
G153,cadC
G154,atoC
G155,mprA
G156,pdhR
G157,decoy9
G158,allR
G159,hdfR
G160,narP
G161,argP
G162,bolA
G163,zur
G164,lsrR
G165,marA
G166,decoy14
G167,cdaR
G168,tdcR
G169,hupA
G170,rcsB
G171,fis
G172,decoy2
G173,mqsR
G174,dhaR
G175,relE
G176,narL
G177,acrR
G178,norR
G179,marR
G180,fabR
G181,feaR
G182,cpxR
G183,arsR
G184,hyfR
G185,zntR
G186,srlR
G187,lrp
G188,nhaR
G189,malI
G190,decoy7
G191,birA
G192,dnaA
G193,zraR
G194,ihfB
G195,uxuR
G196,uxaC
G197,rffD
G198,mdtC
G199,argF
G200,truB
G201,rcnA
G202,ftsK
G203,aceB
G204,decoy58
G205,cysN
G206,fixB
G207,decoy21
G208,phnD
G209,decoy48
G210,rhaB
G211,hcaB
G212,rutE
G213,rrlA
G214,decoy62
G215,dsbC
G216,lysU
G217,prfA
G218,rffM
G219,pheV
G220,purM
G221,argD
G222,fadI
G223,allC
G224,fliN
G225,pepT
G226,yebE
G227,gdhA
G228,dcuS
G229,mhpT
G230,gcvP
G231,paaB
G232,ompA
G233,apaH
G234,tnaC
G235,mtlA
G236,fadE
G237,lysA
G238,entA
G239,uidC
G240,ftnA
G241,gapA
G242,hisM
G243,yhdW
G244,sufS
G245,epd
G246,bioA
G247,metF
G248,nfo
G249,aslB
G250,hyaD
G251,caiT
G252,emrK
G253,ruvB
G254,yfiD
G255,pspB
G256,malF
G257,cyaA
G258,nohA
G259,allE
G260,rpiB
G261,fdnI
G262,fepC
G263,kbl
G264,ygiA
G265,queA
G266,yecR
G267,setA
G268,puuA
G269,glnW
G270,rnpB
G271,betT
G272,ydeA
G273,smtA
G274,nupG
G275,decoy57
G276,hypE
G277,ydbD
G278,rtcB
G279,garD
G280,napB
G281,decoy24
G282,galT
G283,hemF
G284,bcsB
G285,cysA
G286,acrD
G287,rimM
G288,idnD
G289,bioC
G290,xdhA
G291,folA
G292,fumB
G293,narH
G294,nrdB
G295,ybbY
G296,recN
G297,gltK
G298,alaT
G299,hcaD
G300,melB
G301,argT
G302,tolC
G303,acs
G304,znuB
G305,ilvD
G306,rpoD
G307,argH
G308,wcaB
G309,cpxP
G310,glcE
G311,ykgO
G312,tomB
G313,uxaB
G314,phnI
G315,moaA
G316,csgE
G317,hycG
G318,proX
G319,hycH
G320,gor
G321,chpR
G322,dhaM
G323,sgbU
G324,motB
G325,yiaO
G326,yfdZ
G327,yneN
G328,phoA
G329,yjbH
G330,kbaY
G331,cydD
G332,cdd
G333,serT
G334,gltA
G335,idnK
G336,fadB
G337,aceE
G338,kdpC
G339,yjjP
G340,serX
G341,purE
G342,ycaC
G343,nirC
G344,rseC
G345,yeiT
G346,cysC
G347,ksgA
G348,nuoN
G349,fliO
G350,hyfF
G351,emrA
G352,emrB
G353,alsB
G354,scpC
G355,sulA
G356,prs
G357,gyrB
G358,purN
G359,malG
G360,prpB
G361,purB
G362,dadA
G363,nuoL
G364,ybjN
G365,ftsQ
G366,lamB
G367,hybC
G368,phnO
G369,ydhT
G370,nrdF
G371,rutG
G372,ydhW
G373,hydN
G374,flgG
G375,infB
G376,glmY
G377,hypB
G378,flgB
G379,wzyE
G380,ilvI
G381,cueO
G382,rrsE
G383,glxR
G384,phnM
G385,fepD
G386,trxA
G387,ddpD
G388,nuoB
G389,glnX
G390,hycE
G391,oppB
G392,ptsG
G393,phnG
G394,nrfF
G395,dicB
G396,sohB
G397,lpxA
G398,ftsL
G399,thrV
G400,tauA
G401,leuA
G402,artM
G403,fucI
G404,ilvH
G405,ddpX
G406,guaA
G407,ppdB
G408,znuA
G409,gltX
G410,rutB
G411,ygbA
G412,gntP
G413,gpmA
G414,decoy40
G415,rpoS
G416,fimB
G417,yciE
G418,dmsD
G419,decoy75
G420,araH
G421,tsgA
G422,inaA
G423,hybD
G424,fixC
G425,rrlC
G426,leuB
G427,emrY
G428,apaG
G429,nfuA
G430,ecpD
G431,garP
G432,fruA
G433,poxB
G434,chbC
G435,zntA
G436,cvpA
G437,intA
G438,moaC
G439,alsA
G440,cusS
G441,rplD
G442,dinF
G443,gatZ
G444,yjeP
G445,csgF
G446,gudX
G447,sucC
G448,mukB
G449,ygbK
G450,arsC
G451,thrU
G452,nrdH
G453,decoy45
G454,rplC
G455,proP
G456,glyU
G457,mhpD
G458,fucP
G459,astE
G460,trpC
G461,dsbG
G462,dinQ
G463,fldB
G464,frdA
G465,ccmA
G466,alsC
G467,malQ
G468,ubiG
G469,gltT
G470,argB
G471,trpA
G472,xylB
G473,ydhX
G474,ackA
G475,dcuD
G476,mntH
G477,decoy22
G478,ilvB
G479,nfsA
G480,glcA
G481,fimI
G482,paaH
G483,gltV
G484,iraP
G485,cysJ
G486,phnH
G487,rbsD
G488,leuQ
G489,fliS
G490,napH
G491,yhdZ
G492,gcd
G493,ychO
G494,prpD
G495,mglC
G496,treC
G497,grxA
G498,hcaC
G499,aroP
G500,cheA
G501,agaV
G502,codA
G503,frdB
G504,dusB
G505,norW
G506,aceF
G507,chbF
G508,glnB
G509,nanC
G510,tdcG
G511,hmp
G512,rrlE
G513,tfaQ
G514,nfsB
G515,hybB
G516,nanK
G517,phoQ
G518,yafP
G519,amn
G520,katE
G521,yccB
G522,ppdC
G523,cydB
G524,dcuC
G525,decoy46
G526,yfdX
G527,rffT
G528,pyrC
G529,ivbL
G530,dmsA
G531,cusC
G532,hofO
G533,fucA
G534,cheY
G535,decoy35
G536,decoy68
G537,yafN
G538,fliJ
G539,fecD
G540,sucD
G541,rpsP
G542,ansB
G543,mltF
G544,kbaZ
G545,ydeJ
G546,osmE
G547,hofN
G548,copA
G549,csgB
G550,hyaE
G551,iscS
G552,argG
G553,folE
G554,guaB
G555,fixA
G556,ssuD
G557,fliT
G558,ygaC
G559,mngB
G560,mukF
G561,scpA
G562,valX
G563,cysI
G564,mnmG
G565,fepE
G566,yeaE
G567,yfhB
G568,pck
G569,rplV
G570,iscA
G571,xseA
G572,motA
G573,glcB
G574,ydeH
G575,phnP
G576,valU
G577,xylF
G578,rbsC
G579,mpl
G580,tyrV
G581,tufB
G582,hslJ
G583,decoy60
G584,yhdX
G585,uvrC
G586,ryhB
G587,fliH
G588,fecE
G589,mgrB
G590,rpsI
G591,metC
G592,nuoK
G593,ssb
G594,fecA
G595,decoy23
G596,decoy18
G597,psiE
G598,fliP
G599,hcp
G600,ydjM
G601,glgS
G602,cheR
G603,manX
G604,rstB
G605,recX
G606,pagP
G607,gntU
G608,rrfC
G609,mzrA
G610,ppiA
G611,rrsG
G612,cpdB
G613,uspB
G614,ompW
G615,gabT
G616,ynfF
G617,phnK
G618,sgbE
G619,fhuA
G620,paaG
G621,rrsD
G622,psd
G623,agaD
G624,ydeP
G625,dacC
G626,dnaN
G627,ykgR
G628,cheB
G629,sufB
G630,rrsH
G631,csiD
G632,rfe
G633,ahpF
G634,yidQ
G635,tyrU
G636,zwf
G637,msrA
G638,phoR
G639,glmS
G640,entH
G641,flgJ
G642,gntK
G643,modA
G644,adhE
G645,rutD
G646,glnP
G647,agaS
G648,gatD
G649,flgD
G650,phnF
G651,entF
G652,alsE
G653,hofB
G654,wzzE
G655,potH
G656,relA
G657,narI
G658,cadB
G659,sbmC
G660,focB
G661,leuT
G662,ybdN
G663,glpD
G664,ubiA
G665,fliE
G666,ampC
G667,ptsH
G668,decoy34
G669,ycgR
G670,dadX
G671,frc
G672,lpxD
G673,borD
G674,yeaH
G675,galK
G676,sdhD
G677,lacZ
G678,lsrD
G679,pspE
G680,decoy30
G681,hemH
G682,rpmI
G683,ilvC
G684,deoB
G685,ydhY
G686,serC
G687,yciG
G688,acnA
G689,fhuC
G690,ydfD
G691,ribA
G692,feoA
G693,leuX
G694,acnB
G695,fdnG
G696,allA
G697,sucB
G698,symE
G699,moaD
G700,rpsU
G701,decoy47
G702,glpX
G703,fliC
G704,xapA
G705,yeiB
G706,deoC
G707,argO
G708,decoy37
G709,flgM
G710,cusF
G711,umuD
G712,ulaE
G713,nrdG
G714,malK
G715,lsrC
G716,ftsW
G717,trxC
G718,decoy32
G719,dinG
G720,ibpB
G721,cspD
G722,glnA
G723,nuoC
G724,nanE
G725,cheZ
G726,mukE
G727,sufE
G728,glpG
G729,nuoG
G730,mhpC
G731,rhaT
G732,dppD
G733,glcF
G734,livF
G735,lysV
G736,nikE
G737,livK
G738,ubiX
G739,csiE
G740,mhpB
G741,agaC
G742,cheW
G743,rrsC
G744,erpA
G745,hyaF
G746,dps
G747,hycB
G748,thiQ
G749,ddpA
G750,hisQ
G751,hyi
G752,lon
G753,tehA
G754,fliM
G755,rpoH
G756,trpL
G757,cstA
G758,sra
G759,rrfE
G760,hybO
G761,kdpB
G762,aidB
G763,dsbA
G764,valT
G765,azuC
G766,ndh
G767,fpr
G768,ybdZ
G769,flgN
G770,hpt
G771,hyfE
G772,atoD
G773,cysM
G774,metL
G775,nuoF
G776,pnuC
G777,tauD
G778,pflB
G779,ssuE
G780,purH
G781,rffA
G782,fdnH
G783,decoy65
G784,gadA
G785,lldD
G786,arsB
G787,yccA
G788,mdtB
G789,lsrA
G790,gatB
G791,rrlD
G792,mgtA
G793,norV
G794,manY
G795,nupC
G796,micF
G797,topA
G798,csgC
G799,yjcH
G800,glnV
G801,appB
G802,lysW
G803,lhgO
G804,gcvB
G805,potG
G806,fhuF
G807,polA
G808,lpd
G809,gltI
G810,hokD
G811,gcvT
G812,upp
G813,hofM
G814,nrfG
G815,gudD
G816,mioC
G817,prpC
G818,dppF
G819,metK
G820,mtlD
G821,phoH
G822,rtcA
G823,ssuC
G824,mdtE
G825,osmC
G826,alaW
G827,dsdX
G828,tdcF
G829,moaB
G830,kdpF
G831,ascF
G832,rrfB
G833,rutC
G834,srlD
G835,uvrB
G836,uidA
G837,uof
G838,decoy74
G839,tap
G840,ddlB
G841,spy
G842,acrB
G843,cysD
G844,rpsJ
G845,rbfA
G846,atoB
G847,ybfE
G848,galP
G849,speC
G850,nuoM
G851,nrfD
G852,gntT
G853,wcaA
G854,gatY
G855,uidB
G856,idnO
G857,asr
G858,lacA
G859,katG
G860,hyfC
G861,gyrA
G862,lsrK
G863,rpsS
G864,xylG
G865,purF
G866,flgF
G867,ccmE
G868,phnN
G869,sodB
G870,ddpC
G871,decoy69
G872,dppB
G873,ilvE
G874,pgaB
G875,ybaS
G876,nadB
G877,smpA
G878,paaK
G879,cynT
G880,malX
G881,uraA
G882,alaV
G883,fruB
G884,galM
G885,metN
G886,nrfE
G887,aceA
G888,ftsA
G889,hyaA
G890,bcsZ
G891,pfkA
G892,trmD
G893,fepB
G894,entB
G895,frdC
G896,napF
G897,uxuA
G898,malE
G899,lacY
G900,tpr
G901,ulaA
G902,prpE
G903,fimF
G904,araF
G905,decoy59
G906,proW
G907,hycA
G908,proM
G909,metE
G910,hypA
G911,yhjH
G912,decoy49
G913,entD
G914,ilvA
G915,bglB
G916,hisR
G917,thrT
G918,grxD
G919,aroG
G920,trmA
G921,spf
G922,livM
