from,to,direction
G177,G1297,-
G177,G842,-
G177,G796,-
G24,G1437,+
G24,G1256,+
G24,G762,+
G7,G1537,+
G26,G330,-
G26,G1604,-
G26,G741,-
G26,G501,-
G26,G647,-
G26,G623,-
G26,G1299,-
G26,G544,-
G158,G1136,-
G158,G295,-
G158,G1082,-
G158,G1097,-
G158,G1434,-
G158,G383,-
G158,G751,-
G158,G696,-
G158,G4,-
G158,G1359,-
G4,G259,+
G4,G223,+
G4,G1341,+
G130,G437,+
G127,G260,-
G127,G466,-
G127,G439,-
G127,G353,-
G127,G652,-
G66,G1219,+
G66,G521,+
G66,G801,+
G66,G745,+
G66,G550,+
G66,G250,+
G66,G1418,+
G66,G1087,+
G66,G889,+
G66,G1168,+
G97,G1567,+
G97,G1161,+
G97,G1523,-
G97,G1093,+
G97,G904,+
G97,G472,-
G97,G420,+
G97,G1176,+
G97,G1190,-
G97,G1018,+
G121,G1117,+
G121,G1114,+
G121,G523,+
G121,G1540,-
G121,G1559,-
G121,G1357,-
G121,G1322,-
G121,G949,-
G121,G1295,-
G121,G336,-
G121,G1640,-
G121,G84,-
G121,G1307,-
G121,G292,+
G121,G975,-
G121,G1221,-
G121,G1263,-
G121,G1153,-
G121,G663,-
G121,G334,-
G121,G1043,+
G121,G889,+
G121,G1087,+
G121,G1418,+
G121,G250,+
G121,G550,+
G121,G745,+
G121,G1379,-
G121,G415,-
G121,G808,-
G121,G1639,-
G121,G766,+
G121,G1561,-
G121,G391,-
G121,G982,-
G121,G1029,-
G121,G1048,-
G121,G778,+
G121,G217,+
G121,G1602,-
G121,G1558,-
G121,G1233,-
G121,G592,-
G121,G363,-
G121,G348,-
G121,G1401,+
G121,G129,+
G121,G694,-
G121,G1149,-
G121,G790,-
G121,G1619,-
G121,G648,-
G121,G854,-
G121,G1633,+
G121,G1065,-
G121,G1316,+
G121,G1201,-
G121,G573,-
G121,G152,+
G121,G784,+
G121,G733,-
G121,G236,-
G121,G662,+
G121,G524,+
G121,G371,+
G121,G1350,+
G121,G212,+
G121,G645,+
G121,G833,+
G121,G410,+
G121,G1289,+
G121,G1413,+
G121,G268,-
G121,G973,-
G121,G1051,-
G121,G443,-
G121,G957,-
G121,G222,-
G121,G480,-
G121,G1273,-
G121,G310,-
G121,G1370,-
G121,G760,-
G121,G521,+
G121,G1282,+
G121,G887,-
G121,G203,-
G121,G337,-
G121,G506,-
G121,G1585,-
G121,G474,+
G121,G1304,-
G121,G1168,+
G121,G1209,-
G121,G1620,-
G121,G131,-
G121,G271,-
G121,G1477,-
G121,G658,-
G121,G1402,+
G121,G392,-
G121,G1543,-
G121,G454,-
G121,G441,-
G121,G1245,-
G121,G569,-
G121,G1017,-
G121,G1347,-
G121,G1377,-
G121,G844,-
G121,G1579,-
G121,G863,-
G121,G1617,+
G121,G1583,-
G121,G1399,+
G121,G676,-
G121,G1364,-
G121,G593,-
G121,G1154,-
G121,G697,+
G121,G447,-
G121,G540,+
G121,G955,-
G121,G1332,+
G121,G731,-
G121,G688,-
G121,G1010,-
G121,G664,-
G121,G801,+
G121,G1219,+
G121,G496,+
G121,G331,+
G121,G1546,-
G121,G1169,+
G121,G1014,+
G121,G1342,+
G121,G1211,+
G121,G251,+
G121,G272,-
G121,G850,-
G121,G775,-
G121,G254,+
G121,G1417,-
G121,G515,-
G121,G367,-
G121,G423,-
G121,G1059,-
G121,G1232,-
G121,G1215,-
G121,G1396,-
G121,G106,-
G121,G785,-
G121,G1310,-
G121,G388,-
G121,G723,-
G121,G1044,-
G121,G729,-
G161,G1249,+
G161,G294,+
G161,G1517,+
G161,G626,+
G161,G192,+
G161,G1260,+
G161,G707,+
G95,G1020,-
G95,G1306,-
G95,G1431,-
G95,G307,-
G95,G996,-
G95,G845,-
G95,G200,-
G95,G1455,-
G95,G1218,-
G95,G1133,-
G95,G375,-
G95,G1261,-
G95,G1195,-
G95,G1107,-
G95,G1296,-
G95,G1052,-
G95,G1156,-
G95,G1073,-
G95,G402,-
G95,G1224,-
G95,G1096,-
G95,G750,-
G95,G1170,-
G95,G459,+
G95,G1124,+
G95,G1444,+
G95,G1367,+
G95,G1610,+
G95,G242,-
G95,G470,-
G95,G1106,-
G95,G221,-
G95,G199,-
G95,G552,-
G95,G1026,-
G95,G1550,-
G183,G450,-
G183,G786,-
G132,G1164,-
G132,G831,-
G132,G1584,-
G132,G62,-
G90,G1091,+
G90,G564,-
G90,G816,-
G154,G772,+
G154,G1301,+
G154,G1155,+
G154,G846,+
G38,G198,+
G38,G788,+
G38,G1061,+
G38,G841,+
G38,G1234,+
G38,G1452,+
G38,G286,+
G38,G342,+
G131,G271,-
G131,G1620,-
G131,G1209,-
G15,G1086,+
G15,G933,+
G15,G915,+
G191,G1597,-
G191,G289,-
G191,G962,-
G191,G246,-
G191,G1348,-
G162,G666,-
G162,G625,-
G153,G658,+
G153,G1477,+
G32,G1211,+
G32,G251,+
G32,G555,+
G32,G424,+
G32,G1354,+
G32,G1316,+
G32,G1342,+
G32,G1014,+
G32,G1169,+
G32,G206,+
G23,G1160,+
G23,G777,+
G23,G400,+
G23,G1504,+
G23,G779,+
G23,G823,+
G23,G556,+
G23,G1123,+
G23,G974,+
G167,G1349,+
G167,G1509,+
G167,G1328,+
G167,G1138,+
G167,G431,+
G167,G270,+
G167,G815,+
G167,G446,+
G167,G279,+
G80,G1225,+
G80,G434,-
G80,G1507,+
G80,G507,+
G80,G1415,-
G182,G444,-
G182,G309,+
G182,G919,+
